α,α_observed,μ,n,rep,modified_rf_distance,L,spr_distance,rf_distance
0.8,0.782608695652174,0.044,25,25,0.5853658536585366,500,10,0.6097560975609756
0.8,0.782608695652174,0.045,25,1,0.1951219512195122,500,4,0.3170731707317073
0.8,0.5652173913043478,0.045,25,45,0.8888888888888888,500,15,0.8888888888888888
0.8,0.6086956521739131,0.049,25,14,0.40540540540540543,500,7,0.5675675675675675
0.8,0.7391304347826086,0.051,25,31,0.7,500,8,0.7
0.8,0.782608695652174,0.051,25,9,0.6097560975609756,500,8,0.6097560975609756
0.8,0.6956521739130435,0.052,25,11,0.2564102564102564,500,2,0.38461538461538464
0.8,0.7391304347826086,0.055,25,28,0.325,500,5,0.4
0.8,0.6956521739130435,0.057,25,26,0.5128205128205128,500,8,0.5897435897435898
0.8,0.6521739130434783,0.05,25,50,0.7368421052631579,500,11,0.7368421052631579
0.8,0.6956521739130435,0.061,25,6,0.6153846153846154,500,10,0.6923076923076923
0.8,0.6521739130434783,0.064,25,29,0.5,500,7,0.631578947368421
0.8,0.6086956521739131,0.065,25,8,0.5945945945945946,500,7,0.6216216216216216
0.8,0.7391304347826086,0.068,25,38,0.35,500,5,0.4
0.8,0.6956521739130435,0.068,25,42,0.3333333333333333,500,4,0.38461538461538464
0.8,0.8260869565217391,0.069,25,13,0.30952380952380953,500,5,0.3333333333333333
0.8,0.7391304347826086,0.069,25,36,0.45,500,6,0.55
0.8,0.6956521739130435,0.06,25,22,0.8974358974358975,500,14,0.8974358974358975
0.8,0.7391304347826086,0.071,25,32,0.75,500,10,0.75
0.8,0.8260869565217391,0.072,25,39,0.19047619047619047,500,4,0.2857142857142857
0.8,0.6956521739130435,0.073,25,37,0.2564102564102564,500,4,0.38461538461538464
0.8,0.6521739130434783,0.074,25,23,0.47368421052631576,500,6,0.5789473684210527
0.8,0.782608695652174,0.075,25,20,0.6829268292682927,500,11,0.7073170731707317
0.8,0.7391304347826086,0.076,25,19,0.275,500,4,0.35
0.8,0.782608695652174,0.077,25,43,0.7073170731707317,500,12,0.7560975609756098
0.8,0.7391304347826086,0.077,25,47,0.875,500,15,0.9
0.8,0.6956521739130435,0.078,25,35,0.7948717948717948,500,13,0.7948717948717948
0.8,0.782608695652174,0.082,25,12,0.6097560975609756,500,9,0.6097560975609756
0.8,0.782608695652174,0.082,25,48,0.3170731707317073,500,5,0.36585365853658536
0.8,0.7391304347826086,0.084,25,15,0.2,500,4,0.35
0.8,0.8260869565217391,0.084,25,17,0.30952380952380953,500,6,0.38095238095238093
0.8,0.7391304347826086,0.087,25,18,0.55,500,6,0.6
0.8,0.6956521739130435,0.087,25,3,0.6153846153846154,500,10,0.6410256410256411
0.8,0.6521739130434783,0.088,25,27,0.39473684210526316,500,4,0.5263157894736842
0.8,0.782608695652174,0.089,25,30,0.1951219512195122,500,3,0.2682926829268293
0.8,0.6956521739130435,0.091,25,16,0.6153846153846154,500,9,0.6923076923076923
0.8,0.6521739130434783,0.092,25,49,0.6578947368421053,500,9,0.7368421052631579
0.8,0.782608695652174,0.093,25,40,0.8048780487804879,500,13,0.8048780487804879
0.8,0.7391304347826086,0.094,25,24,0.625,500,11,0.65
0.8,0.7391304347826086,0.095,25,2,0.475,500,7,0.55
0.8,0.782608695652174,0.098,25,10,0.6341463414634146,500,11,0.6585365853658537
0.8,0.8260869565217391,0.11,25,34,0.3333333333333333,500,6,0.38095238095238093
0.8,0.6521739130434783,0.11,25,5,0.6578947368421053,500,9,0.7368421052631579
0.8,0.8260869565217391,0.12,25,21,0.09523809523809523,500,2,0.19047619047619047
0.8,0.782608695652174,0.12,25,4,0.3170731707317073,500,4,0.36585365853658536
0.8,0.6521739130434783,0.12,25,7,0.42105263157894735,500,5,0.5789473684210527
0.8,0.6956521739130435,0.13,25,41,0.5641025641025641,500,8,0.5897435897435898
0.8,0.782608695652174,0.17,25,46,0.4634146341463415,500,8,0.5121951219512195
0.8,0.7391304347826086,0.1,25,33,0.275,500,4,0.35
0.8,0.8260869565217391,0.1,25,44,0.6190476190476191,500,9,0.6190476190476191
